1564042462675|14|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564042985250|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564043000151|66|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043042902|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564043043737|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564043046777|137|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043073662|167|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务四', '4444444444', '0/20 * * * * ?' )
1564043112328|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron|select           task_id, task_name, task_description, task_cron       from           task_cron
1564043127865|202|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043129004|105|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043129691|102|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043130897|93|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043131524|73|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043132088|83|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( ?, ?, ? )|INSERT INTO task_cron  ( task_name, task_description, task_cron )  VALUES  ( '任务三', '33333', '0/20 * * * * ?' )
1564043137139|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron|select           task_id, task_name, task_description, task_cron       from           task_cron
1564043476426|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564043477389|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564043482605|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT COUNT(1) FROM task_cron|SELECT COUNT(1) FROM task_cron
1564043482609|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron LIMIT ?,?|select           task_id, task_name, task_description, task_cron       from           task_cron LIMIT 0,5
1564043615652|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564043616485|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564043618689|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT COUNT(1) FROM task_cron|SELECT COUNT(1) FROM task_cron
1564043618694|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron LIMIT ?,?|select           task_id, task_name, task_description, task_cron       from           task_cron LIMIT 0,10
1564043714074|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564043714573|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564043731626|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT COUNT(1) FROM task_cron|SELECT COUNT(1) FROM task_cron
1564043731631|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron LIMIT ?,?|select           task_id, task_name, task_description, task_cron       from           task_cron LIMIT 0,5
1564043957631|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564043958353|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044122700|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044123410|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044341870|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044342931|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044346379|19|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|update           task_cron       set task_cron = ? where task_id = ?|update           task_cron       set task_cron = NULL where task_id = NULL
1564044382042|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044383245|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044384728|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|update           task_cron       set task_cron = ? where task_id = ?|update           task_cron       set task_cron = NULL where task_id = NULL
1564044402950|308|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|update           task_cron       set task_cron = ? where task_id = ?|update           task_cron       set task_cron = '0/20 * * * * ?' where task_id = 1
1564044430123|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044477975|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 12
1564044493811|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 12 AND task_id = 11
1564044497041|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 12 AND task_id = 11 AND task_id = 10
1564044499703|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 12 AND task_id = 11 AND task_id = 10 AND task_id = 1
1564044512524|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 12 AND task_id = 11 AND task_id = 10 AND task_id = 1 AND task_id = 1
1564044535837|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044536676|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044540819|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044543899|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 1
1564044545118|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 1 AND task_id = 1
1564044545686|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 1 AND task_id = 1 AND task_id = 1
1564044548843|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ? AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1 AND task_id = 1 AND task_id = 1 AND task_id = 1 AND task_id = 2
1564044606989|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044607486|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044611479|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 2
1564044612543|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 2
1564044615614|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044618025|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 12
1564044620130|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 13
1564044624799|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 14
1564044665966|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044667111|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044673456|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 13
1564044679578|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 14
1564044782070|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044782999|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044786242|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 14
1564044839675|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564044840301|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564044843611|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 14
